,y,Dagash,Dal,Jebel Aulia,Kajbar,Kashm El Girba ,Merowe,Roseires,Sabaloka,Shereik,Sennar,Upper Atbara
0,2015.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,0.0
1,2016.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,0.0
2,2017.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
3,2018.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
4,2019.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
5,2020.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
6,2021.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
7,2022.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
8,2023.0,0.0,0.0,0.3989,0.0,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
9,2024.0,0.0,0.0,0.3989,10.4374,0.1605,23.7739,3.1049,0.0,0.0,0.299,2.6115
10,2025.0,0.0,0.0,0.3989,10.4374,0.1605,23.7739,3.1049,0.0,11.0575,0.299,2.6115
11,2026.0,0.0,0.0,0.3989,10.4374,0.1605,23.7739,3.1049,0.0,11.0575,0.299,2.6115
12,2027.0,0.0,0.0,0.3989,10.4374,0.1605,23.7739,3.1049,0.0,11.0575,0.299,2.6115
13,2028.0,7.7342,0.0,0.3989,10.4374,0.1605,23.7739,3.1049,0.0,11.0575,0.299,2.6115
14,2029.0,7.7342,0.0,0.3989,10.4374,0.1605,23.7739,3.1049,0.0,11.0575,0.299,2.6115
15,2030.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
16,2031.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
17,2032.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
18,2033.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
19,2034.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
20,2035.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
21,2036.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
22,2037.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
23,2038.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
24,2039.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
25,2040.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
26,2041.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.299,2.6115
27,2042.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.0,2.6115
28,2043.0,7.7342,16.0634,0.3989,10.4374,0.1605,23.7739,3.1049,5.3311,11.0575,0.0,2.6115
29,2044.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,3.1049,5.3311,11.0575,0.0,2.6115
30,2045.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,3.1049,5.3311,11.0575,0.0,2.6115
31,2046.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
32,2047.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
33,2048.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
34,2049.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
35,2050.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
36,2051.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
37,2052.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
38,2053.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
39,2054.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
40,2055.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
41,2056.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
42,2057.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
43,2058.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
44,2059.0,7.7342,16.0634,0.3989,10.4374,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
45,2060.0,7.4871,16.0634,0.3989,10.4347,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
46,2061.0,7.7342,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.9207,0.0,2.6115
47,2062.0,7.4871,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.5443,0.0,2.6115
48,2063.0,7.4871,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.5443,0.0,2.6115
49,2064.0,7.4871,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.5443,0.0,2.6115
50,2065.0,7.4871,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.5443,0.0,2.6115
51,2066.0,7.4871,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.5443,0.0,2.6115
52,2067.0,7.4871,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.5443,0.0,2.6115
53,2068.0,7.7342,15.5502,0.3914,10.0076,0.0,23.7739,0.0,5.0764,10.5443,0.0,2.6115
54,2069.0,7.7342,16.0634,0.3914,10.0076,0.0,23.7739,0.0,5.3311,11.0575,0.0,2.6115
55,2070.0,7.4871,15.5502,0.3914,10.0076,0.0,23.0902,0.0,5.0764,10.5443,0.0,2.6115
